geocode,geocode_desc,total,owned_loan,owned_clear,rented
3744770,MOUNTAIN VIEW,3001,1931,573,497
3744800,MOUNT AIRY,8268,3510,1789,2969
3744900,MOUNT GILEAD,488,219,159,110
3744960,MOUNT HOLLY,10613,6337,1342,2934
3745100,MOUNT OLIVE,1502,567,419,516
3745140,MOUNT PLEASANT,1487,827,226,434
3745460,MOYOCK,3336,2802,260,274
3745560,MULBERRY,2218,1151,634,433
3745640,MURFREESBORO,1011,484,267,260
3745660,MURPHY,1303,444,263,596
3745720,MURRAYSVILLE,11078,7670,653,2755
3745840,MYRTLE GROVE,8145,5623,1147,1375
3745880,NAGS HEAD,2513,1391,358,764
3746000,NASHVILLE,2690,1635,392,663
3746060,NAVASSA,364,218,72,74
3746280,NEUSE FOREST,1693,1149,241,303
3746340,NEW BERN,16239,8331,2571,5337
3746740,NEWLAND,579,161,209,209
3746820,NEW LONDON,543,316,137,90
3746860,NEWPORT,3109,1619,449,1041
3747000,NEWTON,8657,4259,1586,2812
3747020,NEWTON GROVE,377,157,123,97
3747240,NORLINA,518,159,191,168
3747260,NORMAN,69,12,30,27
3747485,NORTHCHASE,2824,1512,286,1026
3747695,NORTHLAKES,1480,1144,245,91
3747845,NORTH TOPSAIL BEACH,677,243,120,314
3747860,NORTHWEST,210,99,57,54
3747880,NORTH WILKESBORO,2718,973,501,1244
3747980,NORWOOD,1681,812,421,448
3748040,OAKBORO,1436,946,277,213
3748060,OAK CITY,122,50,42,30
3748345,OAK ISLAND,6542,3058,1419,2065
3748480,OAK RIDGE,5434,4410,663,361
3748700,OCEAN ISLE BEACH,523,284,179,60
3748740,OCRACOKE,739,307,242,190
3748790,OGDEN,6369,4693,820,856
3748920,OLD FORT,771,258,222,291
3748940,OLD HUNDRED,162,40,27,95
3749380,ORIENTAL,834,337,318,179
3749460,ORRUM,48,4,33,11
3749600,OSSIPEE,458,223,106,129
3749800,OXFORD,2986,1579,602,805
3750080,PANTEGO,122,52,42,28
3750340,PARKTON,322,212,66,44
3750540,PARMELE,24,8,7,9
3750700,PATTERSON SPRINGS,541,229,94,218
3750820,PEACHLAND,273,119,91,63
3751040,PELETIER,579,236,163,180
3751080,PEMBROKE,488,22,23,443
3751780,PIKEVILLE,589,290,129,170
3751820,PILOT MOUNTAIN,1289,548,245,496
3751840,PINEBLUFF,1068,598,194,276
3751940,PINEHURST,11900,7049,3209,1642
3752000,PINE KNOLL SHORES,1285,672,460,153
3752020,PINE LEVEL,1201,573,241,387
3752140,PINETOPS,477,176,140,161
3752160,PINETOWN,144,69,54,21
3752220,PINEVILLE,3789,1278,366,2145
3752260,PINEY GREEN,8068,3930,879,3259
3752400,PINK HILL,285,103,86,96
3752500,PINNACLE,797,486,194,117
3752660,PITTSBORO,2343,1560,280,503
3752685,PLAIN VIEW,1490,852,397,241
3752760,PLEASANT GARDEN,3590,2242,859,489
3752920,PLEASANT HILL,836,404,239,193
3753040,PLYMOUTH,1062,521,376,165
3753140,POLKTON,425,175,114,136
3753160,POLKVILLE,507,196,146,165
3753200,POLLOCKSVILLE,209,92,47,70
3753475,PORTERS NECK,5386,3496,874,1016
3753580,POTTERS HILL,467,200,185,82
3753680,POWELLSVILLE,101,41,37,23
3753820,PRINCETON,789,317,145,327
3753840,PRINCEVILLE,55,33,4,18
3753900,PROCTORVILLE,87,39,27,21
3753950,PROSPECT,38,4,15,19
3754160,PUMPKIN CENTER,1501,889,265,347
3754580,RAEFORD,1872,1057,357,458
3754600,RAEMON,49,20,12,17
3755000,RALEIGH,207279,121617,20745,64917
3755040,RAMSEUR,1115,537,227,351
3755080,RANDLEMAN,3527,1824,460,1243
3755260,RANLO,2520,1576,342,602
3755340,RAYNHAM,38,24,9,5
3755460,RED CROSS,711,405,201,105
3755640,RED OAK,2991,2108,560,323
3755660,RED SPRINGS,1103,468,372,263
3755900,REIDSVILLE,7341,3318,1484,2539
3755940,RENNERT,55,28,13,14
3756100,REX,30,10,10,10
3756240,RHODHISS,1003,501,273,229
3756340,RICHFIELD,507,279,91,137
3756360,RICHLANDS,1088,654,150,284
3756440,RICH SQUARE,313,150,120,43
3756600,RIEGELWOOD,388,212,131,45
3756710,RIVER BEND,2642,1360,763,519
3756815,RIVER ROAD,2540,1397,722,421
3756900,ROANOKE RAPIDS,9948,4929,2001,3018
3757000,ROBBINS,520,185,187,148
3757020,ROBBINSVILLE,507,80,211,216
3757100,ROBERSONVILLE,438,162,199,77
3757200,ROCKFISH,2109,1504,193,412
3757260,ROCKINGHAM,5314,2349,1259,1706
3757340,ROCKWELL,1995,1081,360,554
3757500,ROCKY MOUNT,18292,9618,3973,4701
3757540,ROCKY POINT,879,480,190,209
3757580,RODANTHE,252,89,53,110
3757640,ROLESVILLE,2711,2223,182,306
3757700,RONDA,376,153,138,85
3757740,ROPER,123,24,51,48
3757800,ROSEBORO,562,179,188,195
3757860,ROSE HILL,765,358,274,133
3758020,ROSMAN,499,106,171,222
3758040,ROUGEMONT,775,512,177,86
3758140,ROWLAND,229,65,126,38
3758160,ROXBORO,3333,1105,782,1446
3758180,ROXOBEL,134,60,51,23
3758260,ROYAL PINES,3953,2587,743,623
3758340,RUFFIN,311,143,104,64
3758360,RURAL HALL,2083,1095,424,564
3758420,RUTH,359,196,112,51
3758440,RUTHERFORD COLLEGE,1293,668,338,287
3758460,RUTHERFORDTON,3329,1588,709,1032
3758620,ST. HELENA,288,204,51,33
3758630,ST. JAMES,3083,2105,849,129
3758720,ST. PAULS,1033,462,243,328
3758730,ST. STEPHENS,7028,4096,1608,1324
3758740,SALEM,2076,1056,614,406
3758840,SALEMBURG,381,139,132,110
3758860,SALISBURY,14690,6953,3001,4736
3758920,SALUDA,593,232,229,132
3758940,SALVO,222,81,43,98
3759090,SANDY CREEK,234,143,40,51
3759135,SANDYFIELD,64,38,15,11
3759280,SANFORD,12284,6691,1939,3654
3759340,SARATOGA,209,65,98,46
3759540,SAWMILLS,4868,2326,975,1567
3759580,SAXAPAHAW,1246,683,252,311
3759765,SCOTCH MEADOWS,505,425,67,13
