geocode,geocode_desc,total,owned_loan,owned_clear,rented
3746740,NEWLAND,310,66,117,127
3746820,NEW LONDON,233,115,77,41
3746860,NEWPORT,1563,712,252,599
3747000,NEWTON,5105,2019,963,2123
3747020,NEWTON GROVE,227,73,69,85
3747240,NORLINA,471,110,139,222
3747260,NORMAN,54,13,19,22
3747485,NORTHCHASE,1554,723,162,669
3747695,NORTHLAKES,603,437,123,43
3747845,NORTH TOPSAIL BEACH,400,135,72,193
3747860,NORTHWEST,288,129,89,70
3747880,NORTH WILKESBORO,1686,458,293,935
3747980,NORWOOD,960,367,286,307
3748040,OAKBORO,712,389,188,135
3748060,OAK CITY,146,49,64,33
3748345,OAK ISLAND,3223,1464,817,942
3748480,OAK RIDGE,2106,1610,330,166
3748700,OCEAN ISLE BEACH,279,142,102,35
3748740,OCRACOKE,420,125,144,151
3748790,OGDEN,2642,1799,426,417
3748920,OLD FORT,421,119,141,161
3748940,OLD HUNDRED,99,18,21,60
3749380,ORIENTAL,477,174,196,107
3749460,ORRUM,39,5,23,11
3749600,OSSIPEE,216,101,57,58
3749800,OXFORD,3410,1094,589,1727
3750080,PANTEGO,72,28,26,18
3750340,PARKTON,170,89,53,28
3750540,PARMELE,116,32,53,31
3750700,PATTERSON SPRINGS,249,85,57,107
3750820,PEACHLAND,181,62,66,53
3751040,PELETIER,285,97,89,99
3751080,PEMBROKE,1132,117,205,810
3751780,PIKEVILLE,299,122,77,100
3751820,PILOT MOUNTAIN,669,240,138,291
3751840,PINEBLUFF,531,291,111,129
3751940,PINEHURST,6047,3227,1888,932
3752000,PINE KNOLL SHORES,653,322,261,70
3752020,PINE LEVEL,698,271,174,253
3752140,PINETOPS,570,150,135,285
3752160,PINETOWN,66,21,32,13
3752220,PINEVILLE,3688,867,262,2559
3752260,PINEY GREEN,4846,2188,550,2108
3752400,PINK HILL,212,47,60,105
3752500,PINNACLE,344,187,93,64
3752660,PITTSBORO,1480,817,213,450
3752685,PLAIN VIEW,762,369,229,164
3752760,PLEASANT GARDEN,1690,945,478,267
3752920,PLEASANT HILL,375,163,120,92
3753040,PLYMOUTH,1594,439,367,788
3753140,POLKTON,441,110,95,236
3753160,POLKVILLE,231,77,77,77
3753200,POLLOCKSVILLE,139,53,35,51
3753475,PORTERS NECK,2512,1407,474,631
3753580,POTTERS HILL,206,78,88,40
3753680,POWELLSVILLE,131,41,53,37
3753820,PRINCETON,502,149,109,244
3753840,PRINCEVILLE,775,306,149,320
3753900,PROCTORVILLE,49,17,22,10
3753950,PROSPECT,345,134,161,50
3754160,PUMPKIN CENTER,794,446,154,194
3754580,RAEFORD,1810,709,299,802
3754600,RAEMON,103,42,35,26
3755000,RALEIGH,162999,73345,13939,75715
3755040,RAMSEUR,640,245,144,251
3755080,RANDLEMAN,1739,785,253,701
3755260,RANLO,1263,776,186,301
3755340,RAYNHAM,28,16,6,6
3755460,RED CROSS,319,163,106,50
3755640,RED OAK,1270,829,296,145
3755660,RED SPRINGS,1397,420,376,601
3755900,REIDSVILLE,6262,2093,1146,3023
3755940,RENNERT,122,28,45,49
3756100,REX,30,8,13,9
3756240,RHODHISS,414,181,134,99
3756340,RICHFIELD,227,116,53,58
3756360,RICHLANDS,599,289,100,210
3756440,RICH SQUARE,397,161,131,105
3756600,RIEGELWOOD,237,106,97,34
3756710,RIVER BEND,1414,676,451,287
