geocode,geocode_desc,total,owned,rented
3769840,VASS,304,207,97
3770320,WACO,134,94,40
3770340,WADE,196,133,63
3770380,WADESBORO,1393,778,615
3770480,WAGRAM,307,233,74
3770540,WAKE FOREST,4617,2915,1702
3770660,WALKERTOWN,1696,1395,301
3770720,WALLACE,1329,835,494
3770780,WALNUT COVE,585,363,222
3770820,WALNUT CREEK,322,318,4
3770860,WALSTONBURG,91,64,27
3770920,WANCHESE,614,465,149
3771100,WARRENTON,402,236,166
3771160,WARSAW,1187,646,541
3771220,WASHINGTON,3968,2043,1925
3771240,WASHINGTON PARK,203,182,21
3771320,WATHA,65,56,9
3771460,WAXHAW,895,763,132
3771500,WAYNESVILLE,4106,2684,1422
3771560,WEAVERVILLE,1008,782,226
3771600,WEBSTER,200,140,60
3771680,WEDDINGTON,2159,2053,106
3771760,WELCOME,1437,1158,279
3771780,WELDON,532,330,202
3771860,WENDELL,1675,1167,508
3771900,WENTWORTH,1018,873,145
3771940,WESLEY CHAPEL,867,809,58
3772150,WEST CANTON,488,389,99
3772540,WEST JEFFERSON,527,261,266
3772600,WEST MARION,677,476,201
3772755,WESTPORT,776,728,48
3772950,NA,21,14,7
3773140,WHISPERING PINES,970,930,40
3773160,WHITAKERS,331,216,115
3773300,WHITE LAKE,238,187,51
3773320,WHITE OAK,107,87,20
3773460,WHITE PLAINS,459,312,147
3773660,WHITEVILLE,2191,1243,948
3773760,WHITSETT,279,227,52
3774020,WILKESBORO,1305,749,556
3774220,WILLIAMSTON,2350,1219,1131
3774440,WILMINGTON,34359,16702,17657
3774540,WILSON,17296,8820,8476
3774580,WILSON'S MILLS,465,397,68
3774680,WINDSOR,938,590,348
3774720,WINFALL,234,167,67
3774760,WINGATE,751,422,329
3775000,WINSTON-SALEM,76247,42539,33708
3775060,WINTERVILLE,1848,1405,443
3775080,WINTON,373,220,153
3775280,WOODFIN,1394,723,671
3775340,WOODLAND,328,200,128
3775375,WOODLAWN,408,359,49
3775780,WRIGHTSBORO,1777,1514,263
3775820,WRIGHTSVILLE BEACH,1275,701,574
3775960,YADKINVILLE,959,650,309
3776000,YANCEYVILLE,658,300,358
3776200,YOUNGSVILLE,251,171,80
3776220,ZEBULON,1551,946,605
