geocode,geocode_desc,median_age_b,median_age_m,median_age_f
3728900,HALF MOON,27.8,27,28.7
3728920,HALIFAX,43,40.5,43.7
3729000,HALLSBORO,43.3,39,46.4
3729120,HAMILTON,47.3,46,49.4
3729160,HAMLET,37,35.4,38.2
3729180,HAMPSTEAD,42.6,42.6,42.6
3729560,HARKERS ISLAND,53.8,53.9,53.7
3729640,HARMONY,40.4,38.3,43.1
3729680,HARRELLS,44.5,37.5,49.8
3729720,HARRELLSVILLE,46.5,44.5,47.5
3729800,HARRISBURG,37.3,36.1,38.3
3730040,HASSELL,46,49.5,43
3730100,HATTERAS,46.8,44.9,47.5
3730120,HAVELOCK,23.5,22.9,24.5
3730260,HAW RIVER,38.5,38.6,38.5
3730280,HAYESVILLE,45.8,42.5,48.7
3730340,HAYS,39.5,38.4,40.9
3730620,HEMBY BRIDGE,39.6,38.6,40.8
3730660,HENDERSON,38.6,35,41.5
3730720,HENDERSONVILLE,48.7,42.6,53.3
3730800,HENRIETTA,40.7,41.4,37.5
3730900,HERTFORD,38.6,35.5,40.8
3731060,HICKORY,37.7,36.2,39
3731260,HIDDENITE,43.3,42,44
3731360,HIGHLANDS,56.6,53.3,59.3
3731400,HIGH POINT,35.8,34.4,37.1
3731440,HIGH SHOALS,37,35.5,37.4
3731490,HIGHTSVILLE,42,42.4,39.3
3731500,HILDEBRAN,42,40.4,43.6
3731620,HILLSBOROUGH,38.2,36.4,40.1
3731660,HILLSDALE,39,36,43.4
3731860,HOBGOOD,50.5,47.5,51.8
3731880,HOBUCKEN,53.3,53.7,49
3731920,HOFFMAN,36.4,37.6,35.4
3731960,HOLDEN BEACH,62.1,62.1,62.1
3732100,HOLLISTER,40.7,36.4,42.9
3732180,HOLLY RIDGE,30.1,29.3,30.8
3732260,HOLLY SPRINGS,33.1,32.6,33.4
3732540,HOOKERTON,39.8,39.1,40.6
3732580,HOOPERS CREEK,41.4,39.5,43.3
3732640,HOPE MILLS,31.9,29.6,33.7
3732740,HORSE SHOE,48.1,47.1,48.7
3732840,HOT SPRINGS,44,41.8,46.5
3732980,HUDSON,40.1,38,41.9
3733120,HUNTERSVILLE,35.2,34.6,35.6
3733320,ICARD,42.1,40.6,43
3733460,INDIAN BEACH,59.7,61.8,58.6
3733560,INDIAN TRAIL,33.7,32.8,34.3
3733640,INGOLD,30.4,30.8,29.8
3733820,IRON STATION,43.8,43.3,44.2
3733940,IVANHOE,44.7,44.3,44.9
3733993,JAARS,43.5,41.7,45.5
3734000,JACKSON,49.6,43.4,54.3
3734038,JACKSON HEIGHTS,41.3,39,44.5
3734200,JACKSONVILLE,22.9,22.3,25.1
3734260,JAMES CITY,40.6,38.2,42.4
3734300,JAMESTOWN,45.3,44.5,46.2
3734320,JAMESVILLE,39.7,39.8,39.6
3734440,JEFFERSON,45.3,39,52.7
3734840,JONESVILLE,41.1,39.5,42.9
3735200,KANNAPOLIS,35.6,34.2,37
3735340,KEENER,37.7,37.9,37.3
3735360,KELFORD,39.3,32.3,41
3735440,KELLY,48.8,48.8,49
3735460,KENANSVILLE,50.3,48,52.3
3735540,KENLY,41,37.6,44.2
3735600,KERNERSVILLE,38.5,37.1,39.6
3735720,KILL DEVIL HILLS,37.8,37.3,38.7
3735760,KING,43.4,41,45
3735870,KINGS GRANT,37.4,35.3,39.6
3735880,KINGS MOUNTAIN,40.6,38.3,42.4
3735890,KINGSTOWN,39.3,35,42.1
3735920,KINSTON,43.7,39.8,46.2
3736020,KITTRELL,20.5,20.7,20.3
3736060,KITTY HAWK,45.4,44.6,46.2
3736080,KNIGHTDALE,32.6,31.6,33.7
3736220,KURE BEACH,53.6,53.9,53.3
3736400,LA GRANGE,43.2,39.2,46.2
3736480,LAKE JUNALUSKA,52.9,50.6,54.5
3736500,LAKE LURE,62.4,62.5,62.3
3736511,LAKE NORMAN OF CATAWBA,46.5,46.4,46.5
3736512,LAKE PARK,38.6,36,40.2
3736513,LAKE ROYALE,45,44,45.9
3736514,LAKE SANTEETLAH,69.5,64.5,70.3
3736640,LAKE WACCAMAW,48.4,48.3,48.6
3736860,LANDIS,39.6,38.3,41.2
3736960,LANSING,41,42,40.7
3737000,LASKER,47.7,46.8,49.8
3737040,LATTIMORE,23.2,23.4,22.9
3737120,LAUREL HILL,40.6,40.4,40.7
3737160,LAUREL PARK,61.6,59.9,62.5
3737220,LAURINBURG,37.7,34.3,40.2
3737260,LAWNDALE,42.1,41.4,42.6
3737640,LEGGETT,51,51,52
3737680,LELAND,38.9,38,39.8
3737760,LENOIR,41.5,39.3,43.7
3738030,LEWISTON WOODVILLE,36.9,32.8,38.8
3738040,LEWISVILLE,43.4,42.3,44.4
3738060,LEXINGTON,37.4,35.2,39.4
3738100,LIBERTY,39.5,37.1,42
3738170,LIGHT OAK,45.9,40.6,48.7
3738200,LILESVILLE,40,38.3,45.2
3738220,LILLINGTON,39.6,38.5,44.5
3738320,LINCOLNTON,38.4,36.1,40.4
3738360,LINDEN,49.7,52.5,47.3
3738680,LITTLETON,48.3,45.8,50.1
3738860,LOCUST,40.5,39.3,41.7
3739280,LONG VIEW,38.8,37.3,40.1
3739360,LOUISBURG,38.2,26.8,45.4
3739420,LOVE VALLEY,49.8,53.8,48.5
3739480,LOWELL,37.4,36.9,37.9
3739520,LOWESVILLE,41.1,40.6,41.5
3739540,LOWGAP,40.8,40.8,41
3739600,LUCAMA,34.8,32.9,36.7
3739680,LUMBER BRIDGE,51,50.9,51.5
3739700,LUMBERTON,36.5,34.1,38.7
3739880,MCADENVILLE,40.5,41.1,40
3739960,MACCLESFIELD,46.4,45,47.5
3740140,MCDONALD,40.9,40.3,42
3740240,MCFARLAN,40.2,39.1,43.5
3740460,MCLEANSVILLE,47,45.6,47.9
3740540,MACON,50.8,49.5,51.5
3740560,MADISON,44.4,42.7,46
3740600,MAGGIE VALLEY,53.3,51.9,54.3
3740640,MAGNOLIA,31.7,30,33.8
3740660,MAIDEN,37.9,37.2,38.7
3740860,MAMERS,38,35,40.3
3740980,MANNS HARBOR,40.4,40.4,40.4
3741060,MANTEO,42.8,40.8,44.9
3741220,MARBLE,44.9,44.7,45.5
3741380,MARIETTA,48.1,49,47.2
3741420,MARION,37.9,34.8,42.7
3741540,MAR-MAC,37.5,37.2,38
3741580,MARSHALL,41,36.5,45.1
3741600,MARSHALLBERG,53.1,49.9,54.6
3741620,MARS HILL,22.9,22.2,27.1
3741640,MARSHVILLE,35.2,34.2,36.5
3741720,MARVIN,36.8,36.9,36.7
3741960,MATTHEWS,40.3,38.9,41.6
3742000,MAURY,37.7,37.1,42.8
3742020,MAXTON,37.3,35.8,38.1
3742060,MAYODAN,43.8,40.4,47.2
3742100,MAYSVILLE,32.1,29.4,35.1
3742240,MEBANE,35.8,34.5,37
3742480,MESIC,50,50,50
3742620,MICRO,37.6,32.9,44
3742640,MIDDLEBURG,43.8,30.3,51.5
3742700,MIDDLESEX,40.4,36.9,43.2
3742760,MIDLAND,40.3,39.8,41.1
3742860,MIDWAY,42.5,41.5,43.6
3743160,MILLERS CREEK,43.7,40.9,45.8
3743200,MILLINGPORT,41.1,40.1,41.8
3743260,MILLS RIVER,45.7,45,46.3
3743300,MILTON,51,47.5,53
3743360,MINERAL SPRINGS,41.7,41.3,42.1
3743440,MINNESOTT BEACH,58.1,58.3,57.9
3743480,MINT HILL,41.8,40.9,42.8
3743580,MISENHEIMER,20.9,20.9,20.9
3743720,MOCKSVILLE,39.4,36.6,41
3743860,MOMEYER,44,39.5,46.8
3743880,MONCURE,42.7,42.7,42.8
3743920,MONROE,32.5,31.1,33.9
3744100,MONTREAT,24.2,29.5,22.8
3744160,MOORESBORO,42.8,39.8,45.7
3744220,MOORESVILLE,34.2,32.1,36
3744280,MORAVIAN FALLS,36.8,36.7,36.8
3744320,MOREHEAD CITY,42.4,38.9,45.2
3744400,MORGANTON,39.7,36.2,43.4
3744520,MORRISVILLE,32.5,32.7,32.2
3744560,MORVEN,41.9,39,44.5
3744700,MOUNTAIN HOME,46.3,44.4,47.6
3744770,MOUNTAIN VIEW,41.1,39.8,42.9
3744800,MOUNT AIRY,45.8,43,48.6
3744900,MOUNT GILEAD,43,40.6,44.8
3744960,MOUNT HOLLY,36.2,35.1,37.2
3745100,MOUNT OLIVE,36.5,32,40.1
3745140,MOUNT PLEASANT,40.4,38.2,41.8
3745460,MOYOCK,37,37.2,36.8
3745560,MULBERRY,44,42.5,45.3
3745640,MURFREESBORO,27.5,23.1,32.6
3745660,MURPHY,41.5,39.6,44.1
3745720,MURRAYSVILLE,33.1,32.4,33.7
3745840,MYRTLE GROVE,43.6,42.5,44.5
3745880,NAGS HEAD,46.8,45.1,48.4
3746000,NASHVILLE,40.1,37.8,42
3746060,NAVASSA,36,34.1,37.7
3746280,NEUSE FOREST,41,39.6,42.5
3746340,NEW BERN,38.8,35.7,41.5
3746740,NEWLAND,40.5,35.2,48.4
3746820,NEW LONDON,40.2,39.5,40.6
3746860,NEWPORT,38.9,35.7,42
3747000,NEWTON,38.1,35.8,40.4
3747020,NEWTON GROVE,45.5,42.1,48.5
3747240,NORLINA,38.6,35.4,40.6
3747260,NORMAN,40.5,40.6,40.3
3747485,NORTHCHASE,36,32.5,38.9
3747695,NORTHLAKES,45.9,45.4,46.3
3747845,NORTH TOPSAIL BEACH,43.5,35.9,47.3
3747860,NORTHWEST,43.1,40.5,44.7
3747880,NORTH WILKESBORO,40.3,36.8,45.1
3747980,NORWOOD,42.2,41.6,43
3748040,OAKBORO,36,34.1,38.2
3748060,OAK CITY,52.9,50,54.4
3748345,OAK ISLAND,52.6,51.4,53.9
3748480,OAK RIDGE,41.8,41.5,42.1
3748700,OCEAN ISLE BEACH,58.9,58.3,59.2
3748740,OCRACOKE,38.2,35.3,41.8
3748790,OGDEN,40.8,39.9,41.8
3748920,OLD FORT,44.1,40.5,48.6
3748940,OLD HUNDRED,29.5,28.3,31.2
3749380,ORIENTAL,60.3,61.4,59.7
3749460,ORRUM,45.8,39,51.5
3749600,OSSIPEE,40.4,37.1,43.3
3749800,OXFORD,41.4,37,45
3750080,PANTEGO,43.3,43.4,42.5
3750340,PARKTON,41.3,40.7,41.7
3750540,PARMELE,43.6,42.5,44.7
3750700,PATTERSON SPRINGS,35.6,35,36
3750820,PEACHLAND,42.2,42.3,42.2
3751040,PELETIER,44.8,43,46.1
3751080,PEMBROKE,24.8,23.6,25.9
3751780,PIKEVILLE,41.8,40.4,43.4
3751820,PILOT MOUNTAIN,39.8,37.7,41.4
3751840,PINEBLUFF,39.3,38,40.3
3751940,PINEHURST,57.6,56.4,58.3
3752000,PINE KNOLL SHORES,62.1,62.5,61.9
3752020,PINE LEVEL,35.8,33.4,38.3
