geocode,geocode_desc,total,owned_loan,owned_clear,rented
3739960,MACCLESFIELD,108,69,8,23
3740140,MCDONALD,1,20,6,12
3740240,MCFARLAN,11,23,5,11
3740460,MCLEANSVILLE,217,47,27,7
3740540,MACON,10,17,2,13
3740560,MADISON,491,662,239,92
3740600,MAGGIE VALLEY,273,9,5,0
3740640,MAGNOLIA,148,319,82,55
3740660,MAIDEN,699,303,147,39
3740860,MAMERS,166,22,17,2
3740980,MANNS HARBOR,308,6,3,0
3741060,MANTEO,572,129,33,22
3741220,MARBLE,85,0,0,0
3741380,MARIETTA,10,100,37,39
3741420,MARION,2186,489,126,77
3741540,MAR-MAC,495,1077,397,48
3741580,MARSHALL,328,0,0,0
3741600,MARSHALLBERG,73,0,0,0
3741620,MARS HILL,378,23,7,7
3741640,MARSHVILLE,351,1070,336,174
3741720,MARVIN,148,332,315,6
3741960,MATTHEWS,4243,2623,1486,93
3742000,MAURY,65,257,78,22
3742020,MAXTON,117,1578,433,310
3742060,MAYODAN,950,265,63,34
3742100,MAYSVILLE,113,503,171,126
3742240,MEBANE,2453,2329,1052,113
3742480,MESIC,23,136,70,37
3742620,MICRO,149,54,15,10
3742640,MIDDLEBURG,15,84,40,23
3742700,MIDDLESEX,141,244,80,60
3742760,MIDLAND,448,212,122,37
3742860,MIDWAY,605,398,230,80
3743160,MILLERS CREEK,509,13,1,0
3743200,MILLINGPORT,81,4,0,0
3743260,MILLS RIVER,1049,113,52,31
3743300,MILTON,25,76,25,24
3743360,MINERAL SPRINGS,261,383,225,81
3743440,MINNESOTT BEACH,70,7,2,2
3743480,MINT HILL,2060,2806,1566,57
3743580,MISENHEIMER,80,1,0,0
3743720,MOCKSVILLE,1014,750,297,71
3743860,MOMEYER,41,22,8,11
3743880,MONCURE,90,259,115,84
3743920,MONROE,5210,8171,2905,450
3744100,MONTREAT,87,2,0,0
3744160,MOORESBORO,64,52,5,10
3744220,MOORESVILLE,7303,3556,1268,203
3744280,MORAVIAN FALLS,437,118,32,19
3744320,MOREHEAD CITY,3185,895,181,138
3744400,MORGANTON,4078,1870,600,195
3744520,MORRISVILLE,4388,2454,617,65
3744560,MORVEN,22,387,92,142
3744700,MOUNTAIN HOME,795,89,42,2
3744770,MOUNTAIN VIEW,517,300,229,8
3744800,MOUNT AIRY,3128,869,261,98
3744900,MOUNT GILEAD,110,667,192,180
3744960,MOUNT HOLLY,3146,1730,868,78
3745100,MOUNT OLIVE,560,2142,569,345
3745140,MOUNT PLEASANT,447,60,27,9
3745460,MOYOCK,284,261,202,28
3745560,MULBERRY,445,20,4,5
3745640,MURFREESBORO,273,1024,261,140
3745660,MURPHY,611,52,12,2
3745720,MURRAYSVILLE,2826,1988,1246,145
3745840,MYRTLE GROVE,1382,272,138,36
3745880,NAGS HEAD,808,34,8,0
3746000,NASHVILLE,676,2382,910,204
3746060,NAVASSA,80,968,468,253
3746280,NEUSE FOREST,312,145,60,10
3746340,NEW BERN,5641,9581,2892,851
3746740,NEWLAND,223,5,5,0
3746820,NEW LONDON,90,29,20,2
3746860,NEWPORT,1071,304,134,11
3747000,NEWTON,3267,1691,564,139
3747020,NEWTON GROVE,103,58,14,7
3747240,NORLINA,190,505,122,89
3747260,NORMAN,35,27,16,3
3747485,NORTHCHASE,1068,539,164,35
3747695,NORTHLAKES,98,11,11,0
3747845,NORTH TOPSAIL BEACH,329,13,4,0
3747860,NORTHWEST,54,493,257,120
3747880,NORTH WILKESBORO,1329,467,143,32
3747980,NORWOOD,454,521,160,117
3748040,OAKBORO,222,247,98,104
3748060,OAK CITY,30,191,74,71
3748345,OAK ISLAND,2092,33,10,0
3748480,OAK RIDGE,370,334,262,37
3748700,OCEAN ISLE BEACH,66,0,0,0
3748740,OCRACOKE,329,17,0,7
3748790,OGDEN,875,108,61,8
3748920,OLD FORT,301,123,54,42
3748940,OLD HUNDRED,95,54,10,8
3749380,ORIENTAL,185,49,11,30
3749460,ORRUM,11,21,1,10
3749600,OSSIPEE,132,53,29,8
3749800,OXFORD,882,4486,1061,447
3750080,PANTEGO,29,37,18,8
3750340,PARKTON,46,65,19,37
3750540,PARMELE,9,254,81,106
3750700,PATTERSON SPRINGS,219,60,11,6
3750820,PEACHLAND,63,149,36,50
3751040,PELETIER,190,7,4,0
3751080,PEMBROKE,454,321,8,14
3751780,PIKEVILLE,172,54,18,2
3751820,PILOT MOUNTAIN,505,96,24,21
3751840,PINEBLUFF,283,159,97,9
3751940,PINEHURST,1688,441,206,39
3752000,PINE KNOLL SHORES,153,10,0,5
3752020,PINE LEVEL,401,260,74,42
3752140,PINETOPS,161,893,209,145
3752160,PINETOWN,23,0,0,0
3752220,PINEVILLE,2685,1652,199,12
3752260,PINEY GREEN,3597,3047,1666,214
3752400,PINK HILL,113,159,17,31
3752500,PINNACLE,117,56,25,10
3752660,PITTSBORO,537,650,295,86
3752685,PLAIN VIEW,262,326,153,43
3752760,PLEASANT GARDEN,494,479,295,65
3752920,PLEASANT HILL,195,8,4,0
3753040,PLYMOUTH,166,2586,519,342
3753140,POLKTON,136,719,114,109
3753160,POLKVILLE,184,8,3,0
3753200,POLLOCKSVILLE,70,91,29,2
3753475,PORTERS NECK,1047,235,108,44
3753580,POTTERS HILL,82,0,0,0
3753680,POWELLSVILLE,23,162,49,54
3753820,PRINCETON,348,306,74,37
3753840,PRINCEVILLE,18,2008,847,347
3753900,PROCTORVILLE,21,23,10,12
3753950,PROSPECT,19,5,0,4
3754160,PUMPKIN CENTER,378,402,238,41
3754580,RAEFORD,488,1765,550,166
3754600,RAEMON,17,13,6,4
3755000,RALEIGH,75042,112015,42387,3190
3755040,RAMSEUR,394,208,68,13
3755080,RANDLEMAN,1264,236,105,13
3755260,RANLO,627,552,427,12
3755340,RAYNHAM,5,13,13,0
3755460,RED CROSS,109,9,9,0
3755640,RED OAK,323,326,255,16
3755660,RED SPRINGS,290,1623,513,356
3755900,REIDSVILLE,2644,5995,1775,570
3755940,RENNERT,35,113,45,33
3756100,REX,10,4,3,0
3756240,RHODHISS,232,9,0,0
3756340,RICHFIELD,137,59,21,20
3756360,RICHLANDS,302,277,132,51
3756440,RICH SQUARE,44,566,255,137
3756600,RIEGELWOOD,57,152,80,49
3756710,RIVER BEND,531,184,82,12
3756815,RIVER ROAD,468,997,363,238
3756900,ROANOKE RAPIDS,3083,4810,860,280
3757000,ROBBINS,280,17,0,6
3757020,ROBBINSVILLE,222,0,0,0
3757100,ROBERSONVILLE,81,986,280,193
3757200,ROCKFISH,447,694,484,24
3757260,ROCKINGHAM,1780,3161,670,213
3757340,ROCKWELL,559,24,13,0
3757500,ROCKY MOUNT,4929,34441,11447,2614
3757540,ROCKY POINT,301,197,89,56
3757580,RODANTHE,110,2,0,0
3757640,ROLESVILLE,337,679,572,20
3757700,RONDA,93,4,0,0
3757740,ROPER,48,476,119,104
3757800,ROSEBORO,198,511,124,115
3757860,ROSE HILL,177,506,139,104
3758020,ROSMAN,257,2,0,0
3758040,ROUGEMONT,86,158,86,40
