geocode,total,owned_loan,owned_clear,rented
3771600,116,6,0,0
3771680,461,385,318,27
3771760,933,156,68,11
3771780,61,1160,333,231
3771860,763,1783,857,34
3771900,353,344,161,85
3771940,395,338,294,11
3772150,268,7,5,0
3772540,547,6,0,1
3772600,411,56,30,11
3772755,311,115,90,8
3773140,229,38,28,0
3773160,32,521,205,121
3773300,190,46,0,6
3773320,27,106,64,34
3773460,260,12,2,0
3773660,993,2007,429,211
3773760,104,45,20,12
3774020,1084,271,92,33
3774220,628,3358,661,349
3774440,30755,20467,4639,1421
3774540,5591,22932,6508,1262
3774580,291,691,302,45
3774680,222,1430,591,223
3774720,98,234,104,62
3774760,351,893,467,90
3775000,32108,76218,27622,4535
3775060,688,2936,1772,240
3775080,72,478,110,107
3775280,2157,141,29,3
3775340,96,375,68,66
3775375,65,160,90,23
3775780,612,1651,1000,202
3775820,1204,3,3,0
3775960,676,181,47,22
3776000,182,808,111,105
3776200,350,297,24,15
3776220,560,1697,516,116
