geocode,vacant_total,for_rent,rented_unoccupied,for_sale,sold,seasonal,migrant,other
37017950102,1324.000000000059,50.000000000001,16.000000000001002,120.74763700525986,5,1086.000000000055,3,131
37017950200,211.094806651641,55.000000000001,1,17.042078856760565,30,21.047577746025,1,87.047228905615
37017950301,117,33,3,6.621511082045837,2,20,6,48
37017950302,150.997711646648,32,1,5,21.999999999999,21.999999999999,1,69.99771164665
37017950401,260,117,9,21.346978067325,15,29,0,73
37017950402,110,36,5,7.6688741123548665,13,13,1,37
37017950501,143,23,4,6.848052036363173,6,17,2,87
37017950502,215.991460393348,76,16,17,12,26,3,69.991460393348
37017950601,233,70,14,18.568117319614647,13,22,0,99
37017950602,202.053671633558,15,7,7,18.967460368283,20.125070230072,0,134.961141035203
37019020101,126.000000000044,34.00000000001,4,55.836075919315434,4.000000000003,10.000000000001,0,60.000000000027
37019020102,182.999999999982,81.999999999999,2,44.66159384186759,3,14.999999999998,0,50.999999999994
37019020105,359.999999999964,53.999999999997,2,260.2973699652729,7,180.999999999979,0,33.999999999999
37019020106,71,20,2,26.785083204110066,3,8,0,20
37019020107,117.99999999999599,64.999999999998,2,51.986183515875446,0,13,0,18
37019020108,127,52,2,45,3,11,0,32
37019020201,84.000000000018,31.000000000013,2.000000000002,69.61599924063621,1,8.000000000003,0,10
37019020203,104.000000000001,17.000000000001,2,49.8046323792181,1,24,0,44
37019020204,345,53,6,108.47327118234865,6,127,0,81
37019020205,234.000000000065,37.000000000027,1,75.95948439690035,9.000000000003,107.000000000022,0,19.000000000003
37019020206,123,26,4,36.18311228223,1,37,0,36
37019020304,1165.000000000196,78.000000000009,5.000000000001,413.9231085810452,15,877.0000000001199,0,33
37019020305,606.0000000000119,124.000000000001,0,276.5748466851412,5,274.000000000008,0,47.000000000001
37019020306,311.999999999997,57.999999999999,1,60.63439273105875,1,146.999999999998,2,57
37019020307,1028,22,1,48.01456091255897,1,996,0,0
37019020308,1337,128,4,146,3,1145,1,11
37019020311,763.158275342045,19.143885022803,5,66.57082940534316,6,667.582735250833,0,23.143885022803
37019020312,81.841724657961,1.856114977197,0,72.39055645662945,5,42.417264749169,0,15.856114977197
37019020313,1188,57,0,147,4,1056,1,21
37019020314,734,74,0,48,3,616,0,3
37019020315,1859,70,2,102.42914233015699,3,1705,0,13
37019020316,495,54,0,17.100220473987644,1,426,0,6
37019020404,1101.999999999992,46,1,110.53864891917478,12,917.999999999995,1,86.999999999997
37019020405,566,20,1,150.71294622321082,7,410,0,61
37019020406,2039,278,0,18,2,1732,0,9
37019020407,1375,12,0,525.7341792709065,9,1148,0,48
37019020408,948.000000000004,50.000000000001,2,129.9585964361502,3,783.000000000002,1,48.000000000001
37019020409,1330,31,3,105.54569556577738,6,1221,0,18
37019020504,698,4,3,47.26660402344387,2,647,0,22
37019020505,222.99999999999,48.999999999999,3,37.62676199153594,8,49.999999999995,1,93.999999999998
37019020508,496.000000000316,21.000000000018,4.0000000000039995,65.85069492387025,4.000000000001,419.000000000292,0,30.999999999998
37019020510,1348,49,2,101.11706336124207,11,1177,0,36
37019020511,966.999999999999,46,3,172.47684613974056,2,808.999999999999,1,57
37019020512,4141,1030,19,144.73988144218444,5,3040,0,4
37019020513,230.000000000002,9.000000000001,0,68.4282421891385,4,176,0,12
37019020514,272.000000000118,24.000000000007,1,107.85744903995365,6.000000000003,171.000000000079,0,15.000000000005
37019020515,588.000000000036,37.000000000001,2,104.27721668939736,7,432.00000000002,0,26.000000000004
37019020516,584.999999999819,28.999999999998998,1,228.48208505262343,10.999999999994,409.999999999914,0,33.999999999997
37019020517,912.372130840478,28,3,300.4873846038811,6,762.7825709127001,0,42.966954254762
37019020518,1206.62786915968,65.000000000006,3,138.45605651244063,8,1044.217429087432,2.000000000001,16.033045745249
37019020601,284.000000000015,60.000000000004,0,109.62879423551284,7.000000000001,47.000000000003,0,121.000000000004
37019020602,246.999999999962,51.999999999985,4.999999999999,59.118853249075656,12.999999999998,22.999999999997,0,123.99999999998501
37019020603,183.000000000001,38,0,113.88416940177176,10,28.000000000001002,0,62
37019990100,0,0,0,0,0,0,0,0
37021000100,179,34,0,13,1,119,0,12
37021000200,67,22,1,14,2,17,0,12
37021000300,80,15,2,16.88389575325227,0,12,0,38
37021000400,129.999999999987,52,5,72.74728178109808,0,20.999999999998,0,23
37021000500,261,59,4,35.16531623764756,3,116,0,48
37021000600,162,71,5,29,5,23,0,33
37021000700,67,33,1,9.850827738744155,1,13,0,11
37021000800,223,66,9,36.23005532837911,7,69,0,46
37021000900,117,37,1,42,2,31,0,24
37021001000,177,58,2,65.49516398540077,7,10,0,60
37021001100,154,37,0,47,7,19,0,62
37021001200,182,60,5,37.61005091660126,4,21,1,58
37021001300,165.999999999999,37,3,84.74883538408834,8,9,0,62.999999999999
37021001401,183,87,1,20.560194130059294,3,16,0,63
37021001402,80,36,9,3,2,7,0,23
37021001500,124,63,1,41,4,9,0,29
37021001601,149.000000000002,32.000000000002,2,36.632971576228,12,48,0,30
37021001602,200.000000000011,78.000000000002,1,58.388273844310035,6,47.000000000008,0,37
37021001700,192.000000000014,13,0,51.31934274848485,8,101.000000000008,0,33.000000000002
37021001801,249.999999999971,53.999999999995,2,191.3932152720404,4,96.999999999984,0,23.999999999998
37021001802,248.999999999988,143,7,34.973852188390154,4,46.999999999997,0,29.999999999995
37021001900,194,52,10,45.93994957765584,7,42,0,57
37021002000,215,53,3,97.99793236328074,4,36,0,59
37021002101,136,4,0,35.009196829069,4,70,0,32
37021002102,251,97,9,73.00081888083761,12,25,0,69
37021002203,216.970655172207,79,3,58.504439660647805,5,40.064523327039,0,58.915321790116
37021002204,488.00000000000097,187,11,136.50258876936928,7,106.000000000002,0,54.000000000001
37021002205,167.000000000004,43.000000000002,5,97.60607540811034,5,42.000000000002004,0,34
37021002206,262.000000000007,122.00000000000101,7,60.49356854919992,7,68.000000000001,0,31.000000000005002
37021002303,233.562921469274,38.999999999999,1,88.57587531130575,4,54.012212722335,1,81.999999999978
37021002304,132,13,0,220.23053855435904,4,53,0,12
37021002305,187.000000000001,15.000000000002,0,87.2989963950925,9,60.999999999996,0,60.000000000009
37021002306,160.000000000006,32.000000000001,1,82.79868505966874,7.000000000001,33,0,47.000000000002
37021002401,244.000264657826,65.000075674028,4.999996541974,136.0094535650969,4,67.999968877766,0,84.00023048011
37021002402,278.999844992335,95.999983683403,10.999999999998,87.61246688393578,3,62.99995920851,14.999999999999998,59.99991841702
37021002503,178,61,6,53,6,10,0,73
37021002504,193,48,2,291.2883974981885,5,37,0,65
37021002505,171.000000000011,58.000000000007,1,55.28698349677929,1,27,0,43.000000000003
37021002506,197,87,8,70.16848860856831,7,13,0,49
37021002603,219.99989359987,38.999931113665,3.999992842725,118.54317648495612,3.000018670675,70.00023643713,0,79.99983937465
37021002604,250.000000000018,56.000000000007,5,88.0581844753874,24,43.000000000003,0,78
37021002606,115.000000000001,35,1,18.915310412005613,4,11,0,53.000000000001
37021002607,162.999999999986,38.999999999997,0,36.8904961507043,7,20.999999999997,0,67.999999999994
37021002608,368.000000000225,244.000000000207,4.000000000002,45.2484576449452,4,35.000000000003,0,53.000000000007
37021002609,48,12,0,15,2,5,1,19
37021002701,95.00000000001,15,1,45.59672865853645,9.000000000001,24.000000000002,0,23.000000000003
37021002702,186,33,1,123.40608065680581,5,43,0,60
37021002704,225,48,0,90.78281227640542,3,75,0,62
37021002705,81,14,0,104.60922238726688,4,39,0,14.000000000000002
37021002803,148.859029342704,34.9840262182,5,53.56742571675902,8,15.9680524364,0,64.938898251704
37021002804,177.999999999998,36,3,179.21666673154763,6,25,0,70.999999999999
37021002900,205.980575730984,38.999643946399004,1.999999999998,129.11138499815033,6.001300760006,48.014107291011,0,84.965849706729
37021003002,330.013747389616,71,1,105.91810745971368,6,87.006873694812,0,127
37021003003,264,49,2,157.10242401419353,6,99,0,56
37021003004,115.9862526104,19,1,52.027573159912095,6,46.9931263052,0,28
37021003103,187.999999999965,42.999999999986,0,64.86641764682912,2,101.999999999982,0,29.999999999998
37021003105,522.891354958342,56.899081284698,3.000000000001,216.97914552781157,7.998478860038,353.427559920022,0,57.799683709349
37021003106,357.999947561395,21,2,37.644181028836336,0,293.99996504093,0,23.999982520465
37021003107,256,50,5,37.552320226342744,7,109,0,58
37021003108,106.000000000013,37,1,33.26349604127713,3,35.00000000001,0,19.000000000001002
37021003201,110.000000000002,19.000000000002,1,73.003215937945,10,29,0,28
37021003202,175.006732205531,25.001035723933,3,47.99099304140231,6.999999999999,53.999999999982,0,48.004660757693
37021003203,259.999999999922,62.999999999973,9.999999999998,848.7251983602841,6.999999999998,55.999999999982,0,67.999999999992
37021003204,348.005773051894,39.000284620568,2,142.4439101820894,5.999958025416,165.00396370066,0,85.00121322992
37021003205,341.298858925196,11.000000000002,2,157.06015578538293,5.000000000001,242.290963363777,0,57.007895561407
37023020100,233.510818933679,77.511624458543,0,61.35187936469879,6,13.999597237568,0,99.999597237568
37023020202,166.99999999999199,48.999999999995,1,58.6051842209228,9,8,0,55.999999999997996
37023020203,630.434289180832,22.881907476152,2.9999749532799997,107.99934986191182,1,498.70232623585,0,74.849248900352
37023020204,152,47,1,23.00197593424664,1,34,0,57
37023020301,266.000208569996,51,0,57.97418891972191,11,19,0,150.000208569996
37023020303,198,62,1,51.97655022655836,5,17,0,86
37023020304,134.002194604725,35,2,40.94333434124952,2,13,0,57.002194604725
