geocode,median_age_b,median_age_m,median_age_f
3746860,38.9,35.7,42
3747000,38.1,35.8,40.4
3747020,45.5,42.1,48.5
3747240,38.6,35.4,40.6
3747260,40.5,40.6,40.3
3747485,36,32.5,38.9
3747695,45.9,45.4,46.3
3747845,43.5,35.9,47.3
3747860,43.1,40.5,44.7
3747880,40.3,36.8,45.1
3747980,42.2,41.6,43
3748040,36,34.1,38.2
3748060,52.9,50,54.4
3748345,52.6,51.4,53.9
3748480,41.8,41.5,42.1
3748700,58.9,58.3,59.2
3748740,38.2,35.3,41.8
3748790,40.8,39.9,41.8
3748920,44.1,40.5,48.6
3748940,29.5,28.3,31.2
3749380,60.3,61.4,59.7
3749460,45.8,39,51.5
3749600,40.4,37.1,43.3
3749800,41.4,37,45
3750080,43.3,43.4,42.5
3750340,41.3,40.7,41.7
3750540,43.6,42.5,44.7
3750700,35.6,35,36
3750820,42.2,42.3,42.2
3751040,44.8,43,46.1
3751080,24.8,23.6,25.9
3751780,41.8,40.4,43.4
3751820,39.8,37.7,41.4
3751840,39.3,38,40.3
3751940,57.6,56.4,58.3
3752000,62.1,62.5,61.9
3752020,35.8,33.4,38.3
3752140,41.2,36.8,42.7
3752160,39.3,35.5,43
3752220,35,31.9,38.5
3752260,26.5,25.7,27.5
3752400,37.3,33.3,40.6
3752500,43.5,44.3,41.8
3752660,41.4,38.5,44.8
3752685,39.1,38.8,39.4
3752760,45.6,44.6,46.6
3752920,42.9,41.4,44
3753040,41,39.6,42.4
3753140,34.5,34.6,33.2
3753160,41.8,41.8,41.5
3753200,45.3,38.8,50
3753475,49.1,46.3,51.8
3753580,43.9,41.4,46
3753680,47.1,45.3,47.7
3753820,38.4,36.6,38.9
3753840,36.9,32.1,39.7
3753900,51.5,44,56.3
3753950,36.4,35.1,38
3754160,31.7,29.8,34.3
3754580,39.4,35.1,42.7
3754600,34,34.4,31.8
3755000,31.9,30.8,32.8
3755040,39.5,33.9,44.3
3755080,36.4,34.9,37.5
3755260,34.9,33.6,36.1
3755340,38.3,43,35
3755460,46.8,45,48.5
3755640,42.4,41.7,43.2
3755660,38.5,35,41.6
3755900,41.7,38.8,44.1
3755940,31.2,31.9,30.3
3756100,49.5,46.5,56.5
3756240,40.2,39.4,40.9
3756340,37.4,35.2,40.5
3756360,30.6,28.8,32.2
3756440,50.8,46.6,53.1
3756600,41.6,41.8,41.5
3756710,56.8,54.5,58.5
3756815,40.5,39.1,42.3
3756900,37.9,35.8,39.5
3757000,31.4,29.8,32.5
3757020,39.3,37.1,45.2
3757100,49.9,47.2,51.5
3757200,29.6,29.2,30
3757260,38.2,35.2,40.8
3757340,39.3,37.3,41.2
3757500,38.7,36.1,40.6
3757540,32.4,33,31.6
3757580,42.5,38.6,47.3
3757640,35.2,33.9,35.9
3757700,43.1,38.9,45
3757740,40.1,36.5,42.1
3757800,43.6,41.6,45.8
3757860,40.5,37,42.8
3758020,38,36.4,39
3758040,48.9,49.2,48.3
3758140,44.8,43.5,46.5
3758160,40.2,36,43.5
3758180,50,48.3,55.1
3758260,45.3,43.2,47.4
3758340,40.9,40.1,42.9
3758360,38.2,36.6,40.1
3758420,46.1,45.2,46.6
3758440,45.5,42.3,47.8
3758460,44.4,42.3,46.7
3758620,41.2,40.1,43.5
3758630,65,66.2,64
3758720,36.7,33.1,40.2
3758730,40.5,39.6,41.5
3758740,44.3,42.8,45.7
3758840,48.3,48.8,47.5
3758860,36.2,34.1,38.5
3758920,57.5,54.3,59.9
3758940,48.2,47.1,49
3759090,37.3,37.3,37.3
3759135,34.4,31.2,37.5
3759280,33.3,32.1,34.6
3759340,45.2,39.5,47.5
3759540,39.5,38.9,40.3
3759580,36.6,36.7,36.5
3759765,44.3,44.4,44.3
3759780,47.3,44.5,49
3759980,47.3,43.5,48.9
3760000,53,51.4,54.2
3760080,45.3,41.5,47.3
3760180,47.5,46.9,48.2
3760320,31.8,29.6,33.7
3760505,49.2,47.5,53.2
3760515,54.4,54,54.8
3760540,41.5,38.5,49.5
3760560,51.5,49.2,56.5
3760800,43.9,40.8,46.7
3760940,30.1,27.3,30.6
3761060,34.9,31.4,38.6
3761200,41.4,38.4,43.9
3761860,31.1,29.2,33.1
3761920,45.4,38.1,50.3
3761950,34.4,33.1,35.6
3762040,39,36.1,42.9
3762060,31,29.8,32.5
3762190,37,34.4,40.5
3762520,41.6,38.2,45.2
3762680,37.1,35.1,38.8
3762760,41.9,39.2,45.5
3763120,47,44.6,49.3
3763130,54.2,53.8,54.5
3763240,35.8,33.7,37.8
3763340,41,37.9,44.8
3763360,43.2,41.9,43.9
3763400,55.9,53.1,57.4
3763470,41.7,39,44
3763560,25.3,23.1,27.6
3763680,43.3,38.9,47.4
3763720,47.7,45,51.5
3763760,39.1,37.1,40.7
3763780,20.8,23,16.3
3763880,39.7,38.6,41.4
3763920,37.1,36.8,37.8
3764160,47.1,42.7,50.2
3764180,24.9,24.6,25.3
3764260,42.5,37.5,46
3764380,39.1,38.3,40.2
3764420,38.4,37.5,39.2
3764460,36.9,35.7,37.8
3764500,38.7,37,40
3764560,44.9,42.1,46.3
3764580,37.8,36.5,39.6
3764740,37.8,35.4,39.9
3764840,35.9,34.9,36.8
3764940,32.8,30.3,34
3765020,43.5,38.5,47.8
3765040,39.9,39.6,40.3
3765100,42.6,41.1,44.8
3765120,41.6,41.1,42.5
3765260,38.4,37.1,40.6
3765320,41.5,38.6,42.9
3765530,37.3,36.5,39.1
3765580,42.1,41.7,42.3
3765700,40.9,44.3,39.3
3765900,64,64.6,63.5
3766040,43.1,41.9,43.8
3766280,38.2,35.5,40.1
3766340,49,48.8,49.5
3766360,38,35.5,39.7
3766460,43.2,42.1,44.9
3766500,36.4,34.4,39.6
3766520,44,40.2,46.2
3766700,42.3,39.4,44.9
3766740,54.3,53.3,54.5
3766960,43.5,38.2,47.4
3766980,43.8,42.9,44.6
3767000,33,32,34
3767420,36.2,34.2,38
3767700,44.9,42.5,46.6
3767720,45.9,44.4,47
3768040,57.4,56.3,58.5
3768320,44.4,38.5,48.3
3768340,50.2,49.4,50.8
3768400,44,43,44.9
3768500,37,35,39.2
3768520,36.7,34.1,37.7
3768580,56.8,51.8,60.4
3768740,43.9,40.5,46.5
3769020,37.6,37,38.1
3769260,39.4,38.9,39.8
3769520,43.5,41.3,45.2
3769600,45.3,41.9,46.7
3769640,48.6,47.1,49.7
3769680,31.1,30.7,31.6
3769720,48.3,47.8,48.4
3769740,44.1,43.4,44.5
3769755,43.8,44,43.5
3769795,47.8,47.3,48.3
3769840,41.1,41,41.2
3770320,43.4,42.8,44.3
3770340,42,40,43.2
3770380,39.8,35.8,42.2
3770480,42.6,38.8,45
3770540,34.2,33,35.1
3770580,38.8,42.5,38
3770660,42.6,41.8,43.3
3770720,40.9,35.9,45.2
3770740,41.5,40.9,42.1
3770780,49.2,45.7,51.7
3770820,53.5,54.5,52.8
3770860,40.8,31.8,46.5
3770920,40.9,39.9,42.1
3771100,54.2,52,57
3771160,38.4,35.9,39.8
3771220,41.6,38.2,44.6
3771240,44.3,43.8,45.7
3771320,43.3,44.5,41.8
3771440,43.5,43.3,44.5
3771460,34.5,33.7,35.2
3771500,46.7,43.2,49.4
3771560,51.4,47,54
3771600,38.7,38.7,38.8
3771680,43.3,43.5,43.2
3771760,41.7,41.3,42.2
3771780,46.2,44.3,46.8
3771860,33.4,31.4,35.4
3771900,41.6,40.6,42.9
3771940,38.1,37.4,38.7
3772150,42.6,40.7,43.6
3772540,43.9,40.5,48
3772600,42.2,40.4,43.8
3772755,42.9,42.2,43.5
3773140,52.3,51.1,53.9
3773160,45.3,45.3,45.3
3773300,44.7,43.2,45.7
3773320,40.9,42.5,40.7
3773460,41.1,39.4,42.2
3773660,41.4,37.7,44.4
3773760,49,48.4,49.8
3774020,45.4,40.8,49.5
3774220,41.9,40.6,43
3774440,34.7,32.9,36.4
3774540,37.2,34.8,39.2
3774580,30.4,30.4,30.4
3774680,38.6,33.4,46.9
3774720,44,40.5,46.5
3774760,22.5,21.8,23
3775000,34.6,33.1,36.1
3775060,34.3,33.7,34.9
3775080,42.2,39.7,45.5
3775280,36.6,35.7,38.5
3775340,40.5,36.8,43.1
3775375,44.8,44.3,45.1
3775780,39.7,38,41.4
3775820,35.6,34.6,37.3
3775960,39.1,34.5,42.7
3776000,39.8,36.8,46.5
3776200,32.5,32,32.8
3776220,35.3,33.5,37.3
